frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
27.23,-10.94,-11.75,-10.94,-11.75,6.00,6.16,6.36,-4.94,-4.94,0.81
27.50,-10.84,-11.64,-10.84,-11.64,6.00,6.15,6.49,-4.84,-4.84,0.81
27.77,-10.71,-11.51,-10.71,-11.51,6.00,6.14,6.61,-4.71,-4.71,0.80
28.05,-10.57,-11.37,-10.57,-11.36,6.00,6.14,6.73,-4.57,-4.57,0.80
28.33,-10.41,-11.20,-10.41,-11.20,6.00,6.13,6.84,-4.41,-4.41,0.79
28.62,-10.24,-11.03,-10.24,-11.03,6.00,6.12,6.95,-4.24,-4.24,0.79
28.90,-10.07,-10.86,-10.07,-10.86,6.00,6.12,7.05,-4.07,-4.07,0.79
29.19,-9.90,-10.68,-9.90,-10.68,6.00,6.11,7.15,-3.90,-3.90,0.78
29.48,-9.73,-10.51,-9.73,-10.51,6.00,6.10,7.23,-3.73,-3.73,0.78
29.78,-9.57,-10.33,-9.56,-10.33,6.00,6.09,7.31,-3.57,-3.56,0.77
30.08,-9.40,-10.17,-9.40,-10.16,6.00,6.08,7.37,-3.40,-3.40,0.77
30.38,-9.23,-9.99,-9.23,-9.99,6.00,6.08,7.42,-3.23,-3.23,0.76
30.68,-9.08,-9.84,-9.08,-9.84,6.00,6.07,7.46,-3.08,-3.08,0.76
30.99,-8.95,-9.69,-8.95,-9.70,6.00,6.06,7.50,-2.95,-2.95,0.75
31.30,-8.83,-9.57,-8.84,-9.58,6.00,6.05,7.51,-2.83,-2.84,0.74
31.61,-8.74,-9.48,-8.74,-9.47,6.00,6.04,7.52,-2.74,-2.74,0.74
31.93,-8.66,-9.39,-8.66,-9.38,6.00,6.03,7.52,-2.66,-2.66,0.73
32.24,-8.58,-9.30,-8.58,-9.30,6.00,6.02,7.50,-2.58,-2.58,0.72
32.57,-8.51,-9.22,-8.51,-9.22,6.00,6.01,7.47,-2.51,-2.51,0.72
32.89,-8.44,-9.15,-8.44,-9.15,6.00,6.00,7.44,-2.44,-2.44,0.71
33.22,-8.39,-9.09,-8.39,-9.09,6.00,5.99,7.39,-2.39,-2.39,0.70
33.55,-8.35,-9.05,-8.35,-9.04,6.00,5.98,7.34,-2.35,-2.35,0.70
33.89,-8.31,-9.00,-8.31,-9.00,6.00,5.97,7.27,-2.31,-2.31,0.69
34.23,-8.27,-8.94,-8.26,-8.94,6.00,5.95,7.20,-2.27,-2.26,0.68
34.57,-8.21,-8.88,-8.21,-8.88,6.00,5.94,7.12,-2.21,-2.21,0.67
34.92,-8.15,-8.80,-8.15,-8.80,6.00,5.93,7.04,-2.15,-2.15,0.66
35.27,-8.07,-8.72,-8.07,-8.72,6.00,5.92,6.95,-2.07,-2.07,0.65
35.62,-8.00,-8.63,-7.99,-8.63,6.00,5.90,6.86,-2.00,-1.99,0.64
35.97,-7.91,-8.53,-7.91,-8.53,6.00,5.89,6.76,-1.91,-1.91,0.63
36.33,-7.81,-8.43,-7.81,-8.43,6.00,5.88,6.67,-1.81,-1.81,0.62
36.70,-7.71,-8.32,-7.71,-8.32,6.00,5.86,6.57,-1.71,-1.71,0.61
37.06,-7.60,-8.20,-7.60,-8.20,6.00,5.85,6.47,-1.60,-1.60,0.60
37.43,-7.49,-8.08,-7.49,-8.08,6.00,5.83,6.37,-1.49,-1.49,0.59
37.81,-7.38,-7.95,-7.37,-7.95,6.00,5.82,6.27,-1.38,-1.37,0.58
38.19,-7.26,-7.83,-7.26,-7.82,6.00,5.80,6.17,-1.26,-1.26,0.57
38.57,-7.14,-7.70,-7.14,-7.70,6.00,5.78,6.07,-1.14,-1.14,0.56
38.95,-7.02,-7.57,-7.03,-7.57,6.00,5.77,5.97,-1.02,-1.03,0.55
39.34,-6.92,-7.45,-6.92,-7.45,6.00,5.75,5.88,-0.92,-0.92,0.53
39.74,-6.82,-7.34,-6.82,-7.34,6.00,5.73,5.79,-0.82,-0.82,0.52
40.14,-6.73,-7.23,-6.73,-7.23,6.00,5.71,5.70,-0.73,-0.73,0.51
40.54,-6.64,-7.13,-6.64,-7.13,6.00,5.69,5.61,-0.64,-0.64,0.50
40.94,-6.55,-7.04,-6.55,-7.04,6.00,5.67,5.53,-0.55,-0.55,0.49
41.35,-6.47,-6.95,-6.47,-6.95,6.00,5.65,5.45,-0.47,-0.47,0.48
41.76,-6.40,-6.87,-6.40,-6.87,6.00,5.63,5.37,-0.40,-0.40,0.47
42.18,-6.33,-6.78,-6.33,-6.78,6.00,5.61,5.30,-0.33,-0.33,0.46
42.60,-6.25,-6.70,-6.25,-6.70,6.00,5.59,5.23,-0.25,-0.25,0.45
43.03,-6.18,-6.62,-6.18,-6.62,6.00,5.56,5.17,-0.18,-0.18,0.44
43.46,-6.11,-6.53,-6.11,-6.53,6.01,5.54,5.10,-0.11,-0.11,0.42
43.90,-6.05,-6.44,-6.05,-6.44,6.01,5.52,5.05,-0.03,-0.03,0.40
44.33,-5.98,-6.35,-5.97,-6.35,6.02,5.49,4.99,0.04,0.04,0.38
44.78,-5.90,-6.25,-5.90,-6.25,6.01,5.47,4.94,0.11,0.11,0.36
45.23,-5.82,-6.15,-5.82,-6.16,5.99,5.44,4.90,0.18,0.18,0.34
45.68,-5.74,-6.06,-5.74,-6.06,5.97,5.41,4.85,0.23,0.23,0.33
46.13,-5.67,-5.97,-5.67,-5.98,5.93,5.38,4.82,0.26,0.26,0.31
46.60,-5.60,-5.89,-5.60,-5.89,5.88,5.35,4.78,0.28,0.28,0.30
47.06,-5.53,-5.81,-5.53,-5.81,5.81,5.32,4.75,0.28,0.28,0.28
47.53,-5.47,-5.72,-5.47,-5.73,5.74,5.29,4.72,0.27,0.27,0.26
48.01,-5.40,-5.65,-5.40,-5.64,5.65,5.26,4.70,0.25,0.25,0.25
48.49,-5.34,-5.56,-5.34,-5.56,5.57,5.23,4.67,0.23,0.23,0.22
48.97,-5.28,-5.47,-5.28,-5.47,5.48,5.20,4.66,0.20,0.19,0.19
49.46,-5.23,-5.39,-5.23,-5.39,5.39,5.16,4.64,0.16,0.16,0.16
49.96,-5.18,-5.31,-5.18,-5.31,5.31,5.13,4.63,0.13,0.13,0.13
50.46,-5.13,-5.24,-5.13,-5.23,5.23,5.09,4.62,0.10,0.11,0.11
50.96,-5.08,-5.16,-5.08,-5.16,5.16,5.05,4.61,0.08,0.08,0.09
51.47,-5.03,-5.08,-5.03,-5.09,5.08,5.01,4.60,0.06,0.06,0.06
51.99,-4.97,-5.01,-4.97,-5.01,5.01,4.97,4.60,0.04,0.04,0.04
52.51,-4.92,-4.94,-4.92,-4.94,4.94,4.93,4.59,0.02,0.02,0.02
53.03,-4.87,-4.87,-4.87,-4.87,4.87,4.89,4.59,-0.00,-0.01,-0.00
53.56,-4.83,-4.79,-4.83,-4.80,4.80,4.85,4.59,-0.03,-0.03,-0.03
54.10,-4.79,-4.73,-4.78,-4.73,4.73,4.80,4.59,-0.06,-0.05,-0.05
54.64,-4.74,-4.66,-4.74,-4.66,4.67,4.75,4.58,-0.08,-0.08,-0.08
55.18,-4.70,-4.60,-4.71,-4.60,4.60,4.71,4.58,-0.10,-0.10,-0.10
55.74,-4.67,-4.54,-4.67,-4.54,4.54,4.66,4.58,-0.13,-0.13,-0.13
56.29,-4.64,-4.49,-4.64,-4.49,4.49,4.61,4.57,-0.15,-0.15,-0.15
56.86,-4.61,-4.43,-4.61,-4.43,4.43,4.56,4.57,-0.17,-0.17,-0.17
57.42,-4.57,-4.37,-4.57,-4.37,4.38,4.51,4.56,-0.20,-0.20,-0.20
58.00,-4.54,-4.32,-4.54,-4.32,4.32,4.45,4.55,-0.22,-0.22,-0.22
58.58,-4.51,-4.26,-4.50,-4.26,4.25,4.40,4.54,-0.25,-0.25,-0.24
59.16,-4.46,-4.20,-4.46,-4.20,4.19,4.34,4.52,-0.28,-0.27,-0.26
59.76,-4.42,-4.13,-4.41,-4.13,4.12,4.28,4.50,-0.30,-0.30,-0.28
60.35,-4.36,-4.05,-4.36,-4.05,4.05,4.23,4.48,-0.32,-0.32,-0.31
60.96,-4.32,-3.97,-4.32,-3.97,3.97,4.17,4.46,-0.34,-0.35,-0.34
61.57,-4.27,-3.89,-4.27,-3.89,3.90,4.10,4.43,-0.38,-0.37,-0.38
62.18,-4.23,-3.82,-4.23,-3.82,3.82,4.04,4.39,-0.41,-0.40,-0.41
62.80,-4.19,-3.74,-4.19,-3.74,3.75,3.98,4.35,-0.43,-0.44,-0.44
63.43,-4.15,-3.68,-4.15,-3.68,3.69,3.91,4.31,-0.46,-0.47,-0.47
64.07,-4.12,-3.62,-4.12,-3.62,3.63,3.84,4.26,-0.50,-0.50,-0.50
64.71,-4.09,-3.57,-4.09,-3.57,3.57,3.78,4.21,-0.53,-0.53,-0.52
65.35,-4.07,-3.51,-4.07,-3.51,3.51,3.71,4.16,-0.56,-0.56,-0.55
66.01,-4.04,-3.46,-4.04,-3.46,3.45,3.64,4.10,-0.59,-0.59,-0.58
66.67,-4.02,-3.40,-4.02,-3.40,3.40,3.57,4.04,-0.62,-0.62,-0.61
67.33,-3.99,-3.35,-3.99,-3.35,3.34,3.50,3.97,-0.65,-0.65,-0.64
68.01,-3.96,-3.29,-3.96,-3.29,3.28,3.42,3.90,-0.68,-0.68,-0.67
68.69,-3.93,-3.23,-3.93,-3.23,3.22,3.35,3.83,-0.71,-0.71,-0.70
69.37,-3.90,-3.16,-3.90,-3.16,3.16,3.27,3.75,-0.73,-0.73,-0.73
70.07,-3.86,-3.10,-3.86,-3.10,3.10,3.20,3.68,-0.76,-0.76,-0.76
70.77,-3.82,-3.03,-3.83,-3.03,3.03,3.12,3.60,-0.79,-0.79,-0.79
71.48,-3.79,-2.97,-3.79,-2.97,2.97,3.05,3.52,-0.82,-0.82,-0.82
72.19,-3.76,-2.90,-3.76,-2.90,2.90,2.97,3.43,-0.86,-0.86,-0.86
72.91,-3.73,-2.84,-3.73,-2.84,2.84,2.89,3.35,-0.89,-0.89,-0.89
73.64,-3.70,-2.77,-3.70,-2.77,2.77,2.82,3.27,-0.93,-0.93,-0.93
74.38,-3.67,-2.71,-3.67,-2.71,2.71,2.74,3.18,-0.97,-0.97,-0.96
75.12,-3.65,-2.64,-3.64,-2.64,2.64,2.67,3.09,-1.00,-1.00,-1.00
75.87,-3.61,-2.58,-3.61,-2.58,2.58,2.59,3.01,-1.03,-1.03,-1.03
76.63,-3.58,-2.52,-3.58,-2.52,2.52,2.51,2.92,-1.06,-1.06,-1.06
77.40,-3.55,-2.46,-3.55,-2.46,2.46,2.44,2.84,-1.10,-1.10,-1.09
78.17,-3.52,-2.39,-3.52,-2.39,2.39,2.36,2.75,-1.13,-1.13,-1.13
78.95,-3.50,-2.33,-3.50,-2.33,2.33,2.29,2.67,-1.16,-1.16,-1.16
79.74,-3.47,-2.28,-3.47,-2.27,2.27,2.22,2.59,-1.20,-1.20,-1.19
80.54,-3.44,-2.21,-3.44,-2.21,2.21,2.15,2.50,-1.23,-1.23,-1.23
81.35,-3.41,-2.15,-3.41,-2.15,2.15,2.08,2.42,-1.26,-1.27,-1.26
82.16,-3.39,-2.08,-3.39,-2.09,2.09,2.01,2.34,-1.30,-1.30,-1.30
82.98,-3.36,-2.03,-3.36,-2.02,2.02,1.94,2.26,-1.34,-1.34,-1.33
83.81,-3.33,-1.96,-3.33,-1.96,1.96,1.88,2.19,-1.37,-1.37,-1.37
84.65,-3.30,-1.89,-3.31,-1.90,1.90,1.81,2.11,-1.41,-1.41,-1.41
85.50,-3.28,-1.83,-3.28,-1.83,1.83,1.75,2.03,-1.45,-1.45,-1.44
86.35,-3.25,-1.77,-3.25,-1.77,1.77,1.69,1.96,-1.48,-1.48,-1.48
87.22,-3.22,-1.70,-3.22,-1.70,1.70,1.63,1.89,-1.52,-1.52,-1.52
88.09,-3.20,-1.64,-3.20,-1.64,1.63,1.57,1.82,-1.57,-1.56,-1.56
88.97,-3.17,-1.57,-3.17,-1.57,1.57,1.52,1.75,-1.60,-1.61,-1.60
89.86,-3.15,-1.51,-3.15,-1.51,1.50,1.47,1.68,-1.65,-1.65,-1.64
90.76,-3.13,-1.44,-3.13,-1.44,1.44,1.41,1.61,-1.69,-1.69,-1.69
91.66,-3.11,-1.38,-3.11,-1.38,1.38,1.36,1.54,-1.73,-1.73,-1.73
92.58,-3.10,-1.31,-3.10,-1.32,1.32,1.31,1.48,-1.77,-1.78,-1.78
93.51,-3.09,-1.26,-3.09,-1.27,1.27,1.27,1.42,-1.82,-1.82,-1.82
94.44,-3.08,-1.22,-3.08,-1.22,1.21,1.22,1.35,-1.87,-1.87,-1.86
95.39,-3.08,-1.17,-3.08,-1.17,1.17,1.18,1.29,-1.92,-1.91,-1.91
96.34,-3.08,-1.12,-3.08,-1.12,1.12,1.13,1.23,-1.96,-1.96,-1.96
97.30,-3.09,-1.08,-3.09,-1.08,1.08,1.09,1.17,-2.01,-2.01,-2.01
98.28,-3.10,-1.04,-3.10,-1.04,1.05,1.05,1.12,-2.06,-2.06,-2.06
99.26,-3.12,-1.02,-3.12,-1.01,1.02,1.01,1.06,-2.11,-2.10,-2.10
100.25,-3.14,-0.98,-3.14,-0.98,0.99,0.97,1.01,-2.15,-2.15,-2.15
101.25,-3.16,-0.95,-3.16,-0.96,0.96,0.93,0.95,-2.20,-2.20,-2.20
102.27,-3.19,-0.93,-3.19,-0.93,0.93,0.90,0.90,-2.25,-2.25,-2.25
103.29,-3.21,-0.91,-3.21,-0.91,0.91,0.86,0.85,-2.31,-2.30,-2.30
104.32,-3.23,-0.89,-3.23,-0.89,0.88,0.82,0.80,-2.35,-2.35,-2.34
105.37,-3.25,-0.85,-3.25,-0.85,0.85,0.79,0.74,-2.40,-2.40,-2.39
106.42,-3.26,-0.82,-3.26,-0.82,0.82,0.75,0.70,-2.45,-2.45,-2.44
107.48,-3.28,-0.78,-3.28,-0.78,0.78,0.72,0.65,-2.50,-2.50,-2.49
108.56,-3.29,-0.75,-3.29,-0.75,0.75,0.68,0.60,-2.55,-2.54,-2.54
109.64,-3.31,-0.71,-3.31,-0.71,0.71,0.64,0.55,-2.59,-2.59,-2.59
110.74,-3.32,-0.68,-3.32,-0.68,0.68,0.61,0.51,-2.64,-2.64,-2.64
111.85,-3.34,-0.65,-3.34,-0.64,0.65,0.57,0.46,-2.69,-2.69,-2.69
112.97,-3.36,-0.61,-3.37,-0.62,0.62,0.54,0.42,-2.74,-2.74,-2.75
114.10,-3.40,-0.59,-3.40,-0.59,0.60,0.51,0.38,-2.80,-2.80,-2.80
115.24,-3.43,-0.57,-3.43,-0.57,0.57,0.47,0.33,-2.86,-2.86,-2.86
116.39,-3.47,-0.55,-3.47,-0.55,0.55,0.43,0.29,-2.92,-2.92,-2.91
117.55,-3.50,-0.53,-3.50,-0.53,0.53,0.40,0.25,-2.97,-2.97,-2.97
118.73,-3.53,-0.51,-3.53,-0.51,0.51,0.36,0.21,-3.02,-3.03,-3.02
119.92,-3.56,-0.49,-3.56,-0.49,0.48,0.33,0.17,-3.08,-3.08,-3.07
121.12,-3.58,-0.46,-3.58,-0.46,0.46,0.29,0.14,-3.12,-3.13,-3.12
122.33,-3.60,-0.43,-3.60,-0.43,0.43,0.26,0.10,-3.18,-3.18,-3.17
123.55,-3.62,-0.40,-3.62,-0.40,0.40,0.22,0.06,-3.22,-3.22,-3.22
124.79,-3.64,-0.36,-3.64,-0.36,0.36,0.18,0.03,-3.27,-3.27,-3.27
126.03,-3.65,-0.33,-3.65,-0.33,0.33,0.15,-0.01,-3.33,-3.32,-3.32
127.29,-3.67,-0.29,-3.67,-0.29,0.29,0.11,-0.04,-3.37,-3.37,-3.37
128.57,-3.69,-0.25,-3.68,-0.25,0.26,0.08,-0.08,-3.43,-3.43,-3.43
129.85,-3.70,-0.22,-3.70,-0.22,0.22,0.04,-0.11,-3.48,-3.48,-3.48
131.15,-3.72,-0.18,-3.72,-0.18,0.19,0.00,-0.14,-3.53,-3.53,-3.53
132.46,-3.73,-0.15,-3.73,-0.15,0.15,-0.04,-0.17,-3.58,-3.58,-3.58
133.79,-3.74,-0.12,-3.74,-0.12,0.12,-0.07,-0.21,-3.62,-3.63,-3.62
135.12,-3.75,-0.08,-3.75,-0.08,0.08,-0.11,-0.24,-3.67,-3.67,-3.67
136.48,-3.76,-0.05,-3.76,-0.05,0.04,-0.15,-0.27,-3.72,-3.72,-3.71
137.84,-3.76,0.00,-3.76,0.00,-0.00,-0.18,-0.30,-3.76,-3.77,-3.76
139.22,-3.77,0.05,-3.76,0.05,-0.05,-0.22,-0.33,-3.82,-3.81,-3.81
140.61,-3.75,0.11,-3.75,0.10,-0.10,-0.26,-0.36,-3.85,-3.85,-3.85
142.02,-3.74,0.15,-3.73,0.16,-0.16,-0.30,-0.39,-3.90,-3.90,-3.88
143.44,-3.70,0.22,-3.70,0.22,-0.23,-0.33,-0.42,-3.93,-3.93,-3.92
144.87,-3.67,0.29,-3.67,0.29,-0.29,-0.37,-0.45,-3.97,-3.97,-3.96
146.32,-3.63,0.37,-3.64,0.36,-0.36,-0.41,-0.49,-4.00,-4.00,-4.00
147.78,-3.60,0.43,-3.60,0.44,-0.43,-0.44,-0.52,-4.03,-4.03,-4.03
149.26,-3.57,0.50,-3.57,0.50,-0.50,-0.48,-0.55,-4.07,-4.07,-4.07
150.75,-3.54,0.57,-3.54,0.57,-0.57,-0.52,-0.58,-4.11,-4.11,-4.11
152.26,-3.52,0.63,-3.52,0.63,-0.63,-0.55,-0.61,-4.15,-4.15,-4.15
153.78,-3.51,0.68,-3.51,0.68,-0.68,-0.59,-0.64,-4.19,-4.19,-4.19
155.32,-3.50,0.73,-3.50,0.73,-0.73,-0.63,-0.68,-4.23,-4.23,-4.23
156.88,-3.50,0.78,-3.50,0.77,-0.77,-0.66,-0.71,-4.27,-4.27,-4.27
158.44,-3.51,0.81,-3.50,0.81,-0.81,-0.70,-0.75,-4.31,-4.31,-4.31
160.03,-3.51,0.84,-3.52,0.84,-0.83,-0.73,-0.78,-4.35,-4.35,-4.35
161.63,-3.53,0.86,-3.53,0.86,-0.86,-0.77,-0.82,-4.39,-4.39,-4.39
163.24,-3.55,0.88,-3.55,0.88,-0.87,-0.81,-0.85,-4.42,-4.42,-4.43
164.88,-3.57,0.89,-3.57,0.89,-0.89,-0.84,-0.89,-4.46,-4.46,-4.46
166.53,-3.60,0.90,-3.60,0.90,-0.90,-0.88,-0.93,-4.50,-4.50,-4.50
168.19,-3.63,0.91,-3.63,0.91,-0.91,-0.91,-0.96,-4.55,-4.54,-4.54
169.87,-3.66,0.92,-3.66,0.92,-0.93,-0.95,-1.00,-4.59,-4.59,-4.58
171.57,-3.68,0.94,-3.68,0.94,-0.96,-0.98,-1.04,-4.64,-4.63,-4.62
173.29,-3.68,0.97,-3.68,0.98,-0.99,-1.02,-1.09,-4.67,-4.67,-4.65
175.02,-3.67,1.02,-3.67,1.02,-1.03,-1.05,-1.13,-4.70,-4.70,-4.69
176.77,-3.65,1.08,-3.65,1.08,-1.08,-1.08,-1.17,-4.73,-4.73,-4.73
178.54,-3.62,1.16,-3.62,1.15,-1.15,-1.12,-1.22,-4.77,-4.77,-4.77
180.32,-3.59,1.22,-3.59,1.22,-1.22,-1.15,-1.26,-4.82,-4.81,-4.81
182.13,-3.55,1.30,-3.55,1.30,-1.31,-1.18,-1.31,-4.85,-4.85,-4.84
183.95,-3.50,1.39,-3.50,1.39,-1.40,-1.22,-1.35,-4.89,-4.89,-4.88
185.79,-3.44,1.48,-3.43,1.48,-1.49,-1.25,-1.40,-4.92,-4.92,-4.91
187.65,-3.37,1.58,-3.37,1.58,-1.58,-1.28,-1.45,-4.95,-4.95,-4.95
189.52,-3.30,1.68,-3.30,1.68,-1.67,-1.32,-1.50,-4.97,-4.97,-4.98
191.42,-3.24,1.77,-3.25,1.77,-1.76,-1.35,-1.55,-5.00,-5.00,-5.01
193.33,-3.20,1.85,-3.20,1.85,-1.84,-1.38,-1.60,-5.04,-5.04,-5.04
195.27,-3.16,1.92,-3.15,1.92,-1.92,-1.42,-1.65,-5.07,-5.07,-5.07
197.22,-3.11,1.99,-3.11,1.99,-1.99,-1.45,-1.71,-5.10,-5.10,-5.10
199.19,-3.08,2.06,-3.08,2.05,-2.06,-1.48,-1.76,-5.13,-5.13,-5.13
201.18,-3.04,2.11,-3.04,2.11,-2.12,-1.51,-1.81,-5.16,-5.16,-5.15
203.19,-3.01,2.17,-3.00,2.17,-2.17,-1.54,-1.87,-5.18,-5.18,-5.17
205.23,-2.97,2.22,-2.97,2.22,-2.22,-1.58,-1.92,-5.19,-5.19,-5.19
207.28,-2.94,2.27,-2.94,2.27,-2.26,-1.61,-1.98,-5.20,-5.20,-5.20
209.35,-2.91,2.31,-2.91,2.31,-2.30,-1.64,-2.03,-5.21,-5.21,-5.22
211.44,-2.90,2.34,-2.90,2.34,-2.33,-1.67,-2.08,-5.23,-5.23,-5.24
213.56,-2.89,2.36,-2.90,2.35,-2.36,-1.70,-2.14,-5.25,-5.25,-5.25
215.69,-2.89,2.36,-2.89,2.37,-2.38,-1.73,-2.19,-5.28,-5.27,-5.25
217.85,-2.88,2.38,-2.87,2.39,-2.41,-1.77,-2.24,-5.29,-5.29,-5.26
220.03,-2.85,2.42,-2.85,2.42,-2.44,-1.80,-2.29,-5.29,-5.29,-5.27
222.23,-2.82,2.46,-2.82,2.46,-2.46,-1.83,-2.34,-5.28,-5.28,-5.28
224.45,-2.79,2.49,-2.79,2.49,-2.48,-1.86,-2.39,-5.28,-5.27,-5.28
226.70,-2.76,2.52,-2.76,2.52,-2.50,-1.89,-2.44,-5.27,-5.27,-5.28
228.96,-2.74,2.54,-2.75,2.53,-2.52,-1.92,-2.49,-5.26,-5.27,-5.28
231.25,-2.73,2.54,-2.73,2.54,-2.53,-1.95,-2.53,-5.26,-5.26,-5.27
233.57,-2.73,2.54,-2.73,2.55,-2.54,-1.98,-2.57,-5.26,-5.26,-5.27
235.90,-2.72,2.55,-2.72,2.55,-2.54,-2.01,-2.61,-5.26,-5.26,-5.27
238.26,-2.72,2.54,-2.72,2.54,-2.54,-2.04,-2.64,-5.26,-5.26,-5.26
240.64,-2.71,2.54,-2.71,2.54,-2.56,-2.07,-2.68,-5.27,-5.27,-5.25
243.05,-2.70,2.54,-2.70,2.54,-2.58,-2.11,-2.71,-5.28,-5.28,-5.24
245.48,-2.67,2.56,-2.66,2.57,-2.61,-2.14,-2.73,-5.28,-5.27,-5.23
247.93,-2.61,2.61,-2.61,2.62,-2.65,-2.17,-2.76,-5.26,-5.25,-5.22
250.41,-2.53,2.69,-2.53,2.68,-2.68,-2.20,-2.78,-5.21,-5.21,-5.21
252.92,-2.45,2.75,-2.45,2.75,-2.72,-2.23,-2.80,-5.16,-5.16,-5.19
255.45,-2.38,2.80,-2.39,2.79,-2.75,-2.26,-2.81,-5.13,-5.14,-5.17
258.00,-2.35,2.82,-2.35,2.81,-2.77,-2.29,-2.83,-5.12,-5.13,-5.16
260.58,-2.35,2.79,-2.34,2.80,-2.79,-2.32,-2.84,-5.14,-5.13,-5.14
263.19,-2.35,2.78,-2.34,2.78,-2.79,-2.35,-2.85,-5.13,-5.13,-5.12
265.82,-2.34,2.77,-2.34,2.76,-2.78,-2.38,-2.85,-5.12,-5.12,-5.10
268.48,-2.33,2.75,-2.33,2.75,-2.76,-2.41,-2.85,-5.10,-5.10,-5.08
271.16,-2.33,2.73,-2.33,2.73,-2.74,-2.44,-2.85,-5.07,-5.07,-5.06
273.87,-2.32,2.72,-2.32,2.72,-2.72,-2.47,-2.85,-5.05,-5.04,-5.04
276.61,-2.32,2.71,-2.31,2.71,-2.70,-2.50,-2.85,-5.02,-5.01,-5.02
279.38,-2.30,2.70,-2.31,2.69,-2.68,-2.53,-2.84,-4.99,-4.99,-5.00
282.17,-2.31,2.68,-2.31,2.67,-2.67,-2.56,-2.84,-4.97,-4.97,-4.98
284.99,-2.31,2.65,-2.31,2.65,-2.65,-2.59,-2.83,-4.97,-4.96,-4.96
287.84,-2.31,2.63,-2.31,2.63,-2.64,-2.62,-2.83,-4.96,-4.95,-4.94
290.72,-2.30,2.62,-2.30,2.62,-2.64,-2.65,-2.82,-4.94,-4.94,-4.92
293.63,-2.28,2.63,-2.28,2.63,-2.64,-2.68,-2.81,-4.92,-4.92,-4.90
296.57,-2.24,2.64,-2.24,2.64,-2.65,-2.70,-2.80,-4.89,-4.89,-4.88
299.53,-2.20,2.66,-2.20,2.66,-2.67,-2.73,-2.80,-4.87,-4.87,-4.86
